reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards
"2022.7647","feed materials","feed","Salmonella in fish meal from Poland","29-12-2022 16:52:06","Lithuania","information notification for attention","not serious","Lithuania,Poland","Latvia,Lithuania,Poland","","Latvia,Lithuania,Poland","Latvia","Salmonella Give "
"2022.7646","fruits and vegetables","food","IPRODIONE IN MARACUYA FROM PERU'","29-12-2022 16:38:27","Italy","information notification for attention","undecided","Italy","","","Italy,Peru","Peru","iprodione  "
"2022.7645","nuts, nut products and seeds","food","Salmonella Worthington in pistachios from USA via Lithuania","29-12-2022 16:32:46","Finland","alert notification","serious","Lithuania","INFOSAN","Lithuania","Finland,Latvia,Lithuania,United States","United States","Salmonella  enteritidis "
"2022.7644","nuts, nut products and seeds","food","Presence of aflatoxins above legal limits in shelled pistachios from United States via Romania","29-12-2022 16:03:36","Italy","information notification for attention","serious","Italy","INFOSAN,Romania","","Italy,Romania,Türkiye,United States","Italy,United States","Aflatoxin B1  ,aflatoxin total "
"2022.7643","cereals and bakery products","food","Aflatoxin B1 in maize from France","29-12-2022 16:00:26","Netherlands","alert notification","serious","Netherlands","Netherlands","","France,Netherlands","France","Aflatoxin B1  "
"2022.7642","poultry meat and poultry meat products","food","Salmonella Infantis (in 2 out of 5 units) in fresh chicken quarters from Poland","29-12-2022 15:59:05","Latvia","information notification for attention","not serious","Latvia","Latvia,Poland","","Latvia,Poland","Poland","Salmonella infantis "
"2022.7640","nuts, nut products and seeds","food","Alcaloides pirrolidizidínicos en comino procedente de Turquía // Pyrrolizidine alkaloids above limits from Turkey","29-12-2022 14:44:17","Spain","border rejection notification","serious","","","","Spain,Türkiye","Türkiye","pyrrolizidine alkaloids  "
"2022.7639","poultry meat and poultry meat products","food","Salmonella Enteritidis (in 2 out of 5 units) in chicken quarters from Poland","29-12-2022 14:25:00","Latvia","information notification for attention","serious","Equatorial Guinea,Latvia,Liberia,Lithuania,Réunion,Slovakia,Ukraine,Vietnam","Latvia,Lithuania,Poland,Slovakia","","Latvia,Lithuania,Poland","Poland","Salmonella Enteritidis "
"2022.7637","fruits and vegetables","food","Glass parts in red cabbage with apple from the Netherlands","29-12-2022 13:26:30","Netherlands","alert notification","serious","Aruba,Belgium,Netherlands,Spain","INFOSAN","Belgium","Netherlands","Netherlands",""
"2022.7635","feed materials","feed","Ambrosia spp. in compound feed for parrots","29-12-2022 11:47:03","Latvia","alert notification","serious","Latvia","","Slovakia","Latvia,Slovakia","Slovakia","ragweed (Ambrosia spp.) seeds  too high content"
"2022.7633","poultry meat and poultry meat products","food","Salmonella (in 2 out of 5 samples) in chilled minced thigh meat of broiler chickens from Poland","29-12-2022 10:59:02","Lithuania","information notification for attention","serious","Lithuania","","","Lithuania,Poland","Poland","Salmonella  enteritidis "
"2022.7632","nuts, nut products and seeds","food","Aflatoxinas por encima del límite permitido en cacahuetes de China // Aflatoxins above the permited limit in peanuts from China ","29-12-2022 10:34:52","Spain","border rejection notification","serious","","","","China,Spain","China","Aflatoxin  ,Aflatoxin B1  ,aflatoxin total "
"2022.7630","fish and products thereof ","food","infestazione parassitaria in sgombri da larve di Anisakis/parasitic infestation with Anisakis (live larvae) of Atlantic mackerel (Scomber scombrus) from Spain","29-12-2022 10:22:49","Italy","information notification for follow-up","not serious","Italy","Italy","Spain","Italy,Spain","Spain","Anisakis simplex parasitic infestation with"
"2022.7629","pet food","feed","Broken glass in dog feed","29-12-2022 10:14:33","Austria","alert notification","serious","Austria,Czech Republic,France,Germany,Hungary,Luxembourg,Netherlands,Poland,Switzerland,United Kingdom","Austria,Czech Republic,France,Hungary,Luxembourg,Netherlands,Poland,Switzerland","Germany","Austria,Germany","Germany","particles glass "
"2022.7623","fruits and vegetables","food","Aflatoxins in dried figs from Turkey","28-12-2022 17:24:37","Germany","border rejection notification","serious","Germany","","","Germany,Türkiye","Türkiye","aflatoxin total "
"2022.7622","milk and milk products","food","E.coli detected on a cheese","28-12-2022 17:14:07","France","alert notification","serious","Belgium,France","","Belgium","France","France","e.coli  "
"2022.7621","bivalve molluscs and products thereof","food","Vibrio parahaemolyticus in mussels (mytilus galloprovincialis) produced in Italy and reared in Spain","28-12-2022 16:51:28","Italy","information notification for attention","serious","Italy","","Spain","Italy,Spain","Italy","Vibrio parahaemolyticus "
"2022.7619","fruits and vegetables","food","presence of chlorpyrifos and chlorpyrifos-methyl in frozen semi-dried tomatoes from Turkey","28-12-2022 16:40:32","Italy","information notification for attention","undecided","Italy","","","Italy,Türkiye","Türkiye","chlorpyrifos  unauthorised substance,chlorpyrifos-methyl  unauthorised substance"
"2022.7618","eggs and egg products","food","Enrofloxacin in chicken eggs from Poland","28-12-2022 16:36:52","Latvia","information notification for attention","not serious","Latvia,Lithuania,Poland","Latvia,Lithuania,Poland","","Latvia,Poland","Poland","enrofloxacin  unauthorised"
"2022.7616","cereals and bakery products","food","3MCPD som in cassave crackers","28-12-2022 16:07:24","Netherlands","alert notification","serious","Spain","","Spain","Netherlands","Netherlands","3-monochlor-1,2-propanediol (3-MCPD)  "
"2022.7615","fish and products thereof ","food","Mercury in caella (prionace glauca) from Spain","28-12-2022 15:43:08","Spain","alert notification","serious","Bosnia and Herzegovina,Italy,Portugal,Spain","INFOSAN,Spain","Italy,Portugal","Spain","Spain","mercury  "
"2022.7612","fruits and vegetables","food","unauthorised substance ethylene oxide in dried shallots from India","28-12-2022 14:42:05","Belgium","alert notification","serious","Belgium,France","Belgium,INFOSAN","France","Belgium,India","Belgium,India","ethylene oxide  "
"2022.7611","cocoa and cocoa preparations, coffee and tea","food","Chlorpyrifos in black tea from Serbia","28-12-2022 14:31:45","Croatia","border rejection notification","undecided","Croatia","","","Croatia,Serbia","China","chlorpyrifos  unauthorised substance,lambda-cyhalothrin  "
"2022.7609","herbs and spices","food","Salmonella spp. in black pepper from Brazil","28-12-2022 13:57:06","Germany","border rejection notification","serious","Germany","","","Brazil,Germany","Brazil","Salmonella spp. "
"2022.7608","fruits and vegetables","food","improper storage (leakage from drums) of tomato paste from Iran","28-12-2022 13:01:34","Italy","border rejection notification","undecided","","","","Iran,Italy","Iran",""
"2022.7606","nuts, nut products and seeds","food","SESAME SEEDS FROM SUDAN WITH ABSENCE OF OFFICIAL CERTIFICATES","28-12-2022 12:37:33","Greece","border rejection notification","undecided","","","","Greece,Sudan,United Arab Emirates","Sudan",""
"2022.7605","nuts, nut products and seeds","food","SESAME SEEDS FROM SUDAN WITH ABSENCE OF OFFICIAL CERTIFICATES","28-12-2022 12:35:52","Greece","border rejection notification","undecided","","","","Greece,Sudan,United Arab Emirates","Sudan",""
"2022.7604","nuts, nut products and seeds","food","SESAME SEEDS FROM SUDAN WITH ABSENCE OF OFFICIAL CERTIFICATES","28-12-2022 12:34:28","Greece","border rejection notification","undecided","","","","Greece,Sudan,United Arab Emirates","Sudan",""
"2022.7602","fats and oils","food","3-MCPD in palm oil from Ghana","28-12-2022 12:14:36","Netherlands","alert notification","serious","Austria,Belgium,Czech Republic,Denmark,Finland,France,Germany,Lithuania,Malta,Netherlands,Norway,Poland,Romania,Spain,Sweden,Ukraine","INFOSAN,Netherlands","Austria,Belgium,Czech Republic,Denmark,Finland,France,Germany,Greece,Lithuania,Malta,Norway,Poland,Romania,Spain,Sweden","Malta,Romania","Ghana","3-monochlor-1,2-propanediol (3-MCPD)  "
"2022.4846","dietetic foods, food supplements and fortified foods","food","Excessive monacolin content in food supplements from the Netherlands","28-12-2022 11:36:11","Germany","information notification for attention","serious","","","Netherlands","Netherlands","Netherlands",""
"2022.7600","fish and products thereof ","food","Mercurio in pesce spada confezionato /mercury above legal limit in chilled swordfish from Spain","28-12-2022 10:16:23","Italy","information notification for attention","serious","","Italy,Spain","","Italy,Spain","Spain","mercury  "
"2022.7595","fruits and vegetables","food"," Unauthorised substance chlorpyrifos in clementines, origin Albania","27-12-2022 17:50:46","Romania","information notification for attention","serious","Romania","","","Albania,Romania","Albania","chlorpyrifos  unauthorised substance"
"2022.7594","milk and milk products","food","Tubes de fromage blanc - Défaut microbiologique","27-12-2022 17:38:05","France","alert notification","undecided","Netherlands","","","France","France",""
"2022.7593","bivalve molluscs and products thereof","food","Norivirus genotype I in clam (chamelea gallina) from Italy","27-12-2022 17:01:03","Spain","information notification for attention","serious","Spain","Spain","","Italy,Spain","Italy","norovirus  "
"2022.7592","fruits and vegetables","food","Pesticide residues in dried grapes (sultanas) from Iran","27-12-2022 16:42:12","Belgium","alert notification","serious","France","INFOSAN","","France,Iran,United Arab Emirates","Iran","captan  ,chlorpyrifos  unauthorised substance,iprodione  "
"2022.7591","fruits and vegetables","food","Ochratoxin A in organic raisins from Uzbekistan, via Türkiye","27-12-2022 16:20:13","Germany","information notification for attention","serious","Germany,Türkiye","INFOSAN","","Germany,Türkiye,Uzbekistan","Uzbekistan","ochratoxin A  "
"2022.7590","bivalve molluscs and products thereof","food","Detection of norovirus genotypes I and II in baby clam (chamelea gallina) from Italy","27-12-2022 15:32:11","Spain","information notification for attention","serious","","","Spain","Italy,Spain","Italy","norovirus  "
"2022.7589","cereals and bakery products","food","unauthorised substance tricyclazole (0.061 mg/kg - ppm) in rice from Italy","27-12-2022 14:50:06","Italy","information notification for follow-up","undecided","Czech Republic,Italy,Switzerland","Italy","Czech Republic,Switzerland","Italy","Italy","tricyclazole  unauthorised substance"
"2022.7588","fruits and vegetables","food","Chlorpyriphos in beans from Kenya","27-12-2022 14:47:38","France","border rejection notification","undecided","","","","France,Kenya","Kenya","chlorpyrifos  unauthorised substance"
"2022.7586","fruits and vegetables","food","Unauthorised substance chlorpyrifos in red pepper, origin Albania","27-12-2022 13:56:24","Romania","information notification for attention","serious","Romania","","","Albania,Romania","Albania","chlorpyrifos  unauthorised substance"
"2022.7583","nuts, nut products and seeds","food","Presence of aflatoxins above legal limits in shelled pistachios from United States via Turkey","27-12-2022 12:52:11","Italy","border rejection notification","serious","Italy,Türkiye","","","Italy,Türkiye,United States","United States","Aflatoxin B1  ,aflatoxin total "
"2022.7313","fish and products thereof ","food","Lote de pescado congelado no amparado por el certificado sanitario procedente de Chile / Batch of frozen fish not covered by the health certificate from Chile","27-12-2022 12:48:01","Spain","border rejection notification","undecided","Spain","","","Chile,Spain","Chile",""
"2022.7581","poultry meat and poultry meat products","food","Salmonella C1 in chicken neck skin","27-12-2022 12:31:19","Poland","information notification for follow-up","not serious","Austria,France,Poland","","Austria,France","Poland","Poland","Salmonella group C1 "
"2022.7578","fruits and vegetables","food","Depasire LMR pesticide acetamiprid si pyriproxyfen in struguri origine Turcia/Exceeding MRLs of pesticides, acetamiprid and pyriproxyfen in table grapes from Turkey","27-12-2022 11:52:20","Romania","information notification for attention","serious","Romania","","","Romania,Türkiye","Türkiye","acetamiprid  ,pyriproxyfen   "
"2022.7577","fruits and vegetables","food","Aflatoxins in pistachios from the United States, via Türkiye","27-12-2022 11:39:52","Italy","border rejection notification","serious","","","","Italy,Türkiye,United States","United States","Aflatoxin B1  ,aflatoxin total "
"2022.7573","fruits and vegetables","food","presence of thiophanate methyl, chlorpyrifos ethyl and propiconazole in fresh chilli pepper origin Egypt","27-12-2022 10:01:06","Italy","border rejection notification","undecided","","","","Egypt,Italy","Egypt","chlorpyrifos  unauthorised substance,propiconazole  ,thiophanate-methyl  "
"2022.7572","nuts, nut products and seeds","food","Aflatossine oltre i limiti massimi consentiti in Pistacchio sgusciato/ Aflatoxins beyond the maximum permitted limits in shelled pistachios from Türkiye","27-12-2022 09:47:32","Italy","border rejection notification","serious","","","","Italy,Türkiye,United States","United States","Aflatoxin B1  ,aflatoxin total "
"2022.7571","fruits and vegetables","food","presence of propiconazole in fresh chillies from Egypt","27-12-2022 09:39:22","Italy","border rejection notification","serious","","","","Egypt,Italy","Egypt","propiconazole  "
"2022.7569","herbs and spices","food","Fipronil in gotukola from Sri Lanka","26-12-2022 14:24:40","France","border rejection notification","no risk","","","","France,Sri Lanka","","fipronil  unauthorised substance"
"2022.7568","fruits and vegetables","food","Acephate and Methamidophos in green beans from Kenya","26-12-2022 13:49:36","France","border rejection notification","serious","","","","France,Kenya","","acephate  unauthorised substance,methamidophos  unauthorised substance"
"2022.7567","herbs and spices","food","Cyprodinil and Fludioxonil in hot pepper from Uganda","26-12-2022 13:10:26","France","border rejection notification","undecided","","","","France,Uganda","","cyprodinil  ,fludioxonil  "
"2022.7566","herbs and spices","food","Exceedance of maximum limits of aflatoxins in masala spice mix from Pakistan","26-12-2022 12:30:14","France","border rejection notification","serious","","","","France,Pakistan","Pakistan","Aflatoxin B1  "
"2022.7565","fruits and vegetables","food","Fipronil in mukunuwenna from Sri Lanka","26-12-2022 12:10:27","France","border rejection notification","serious","","","","Sri Lanka","Sri Lanka","fipronil  unauthorised substance"
"2022.7564","non-alcoholic beverages","food","Unauthorised novel foods (isatis indigotica and clerodendrum) in isatis root drink from China","26-12-2022 11:54:50","Spain","information notification for follow-up","potential risk","Netherlands,Spain","","Netherlands","China,Netherlands","China",""
"2022.7563","dietetic foods, food supplements and fortified foods","food","Non-Compliant enzymes due ergot alkaloids","26-12-2022 11:20:06","Ireland","information notification for follow-up","not serious","Algeria,Angola,Benin,Chad,Democratic Republic of the Congo,Gabon,India,Madagascar,Mali,Morocco,Portugal,Senegal,Spain,Togo,United Kingdom","INFOSAN","Portugal","Algeria,Angola,Benin,Chile,Democratic Republic of the Congo,Gabon,India,Ireland,Madagascar,Mali,Morocco,Senegal,Spain,Togo,United Kingdom","Ireland","rye ergot (Claviceps purpurea)  "
"2022.7562","fruits and vegetables","food","Level of aflatoxins exceeding limits in dried figs from Turkey","26-12-2022 10:36:17","France","border rejection notification","serious","","","","France,Türkiye","Türkiye","Aflatoxin B1  "
"2022.7557","meat and meat products (other than poultry)","food"," detection of Salmonella and Clostridium perfringens in dried natural casings from Portugal","23-12-2022 17:25:57","France","alert notification","serious","France","France,Germany,INFOSAN","Germany,Portugal","China,France,Germany,Portugal","Portugal","Clostridium perfringens ,Salmonella  enteritidis "
"2022.7554","fruits and vegetables","food","Unauthorised substance diafenthiuron in leeks from South Africa via the Netherlands","23-12-2022 16:40:57","Belgium","alert notification","undecided","Belgium","Belgium,INFOSAN","Netherlands","Netherlands,South Africa","South Africa","diafenthiuron  unauthorised substance"
"2022.7552","cereals and bakery products","feed","Chlorpyrifos in wheat consignment from unknown origin","23-12-2022 16:24:50","Hungary","alert notification","serious","","","","Austria,Hungary","unknown origin","chlorpyrifos  unauthorised substance"
"2022.7551","feed materials","feed","Salmonella Muenster and Salmonella Rissen in turkey processed animal protein from Spain","23-12-2022 16:13:33","Belgium","information notification for follow-up","not serious","Belgium","","Belgium,Spain","Belgium,Spain","Spain","Salmonella  enteritidis "
"2022.7550","meat and meat products (other than poultry)","food","Salmonella spp in salami Milano","23-12-2022 16:00:33","Croatia","alert notification","serious","Croatia,Slovenia","","Croatia,Italy,Slovenia","Croatia,Italy","",""
"2022.7547","fats and oils","food","Gluten undeclared in label of the margarine from Finland","23-12-2022 15:00:57","Finland","alert notification","serious","Sweden","","","Finland","Finland",""
"2022.7545","bivalve molluscs and products thereof","food","Detection of Salmonella in Live Razor Clams (Ensis spp.) ","23-12-2022 14:39:04","Ireland","information notification for attention","serious","Hong Kong","INFOSAN","","Hong Kong,Ireland","Ireland","Salmonella  enteritidis "
"2022.7543","bivalve molluscs and products thereof","food","Presence of norovirus genogroup I in oysters from France","23-12-2022 12:55:31","Italy","information notification for attention","undecided","Italy","France","","France,Italy","France","norovirus  "
"2022.7542","fruits and vegetables","food","High content of cadmium in fresh carrots","23-12-2022 12:27:04","Slovakia","alert notification","serious","Slovakia","","Poland","Poland,Slovakia","Poland","cadmium  "
"2022.7541","feed materials","feed","Salmonella Tennessee in rapeseed meal from Germany","23-12-2022 12:17:49","Germany","information notification for follow-up","not serious","Denmark,Finland,Germany,Sweden","Germany","Denmark,Finland,Poland,Sweden","Denmark,Finland,Germany,Sweden","Germany","Salmonella spp. "
"2022.7540","food contact materials","food contact material","Colour migration from the gold colored metal bowl from China","23-12-2022 12:16:15","Slovenia","information notification for attention","undecided","","","","China,Slovenia","China","migration colour "
"2022.7539","fish and products thereof ","food","Histamine in frozen tuna (Katsuwonus pelamis) from Portugal","23-12-2022 12:09:01","Portugal","alert notification","serious","Spain","Portugal","Portugal,Spain","Portugal,Spain","Portugal","histamine  "
"2022.7538","dietetic foods, food supplements and fortified foods","food","Unauthorised substance sildenafil and sibutramine in tea from Turkey","23-12-2022 12:05:13","Belgium","border rejection notification","serious","Belgium","","","Türkiye","Türkiye","sibutramine  unauthorised substance,sildenafil  "
"2022.7537","dietetic foods, food supplements and fortified foods","food","Unauthorised substance sildenafil and sibutramine in food supplements from Turkey","23-12-2022 12:02:35","Belgium","border rejection notification","serious","Belgium","","","Türkiye","Türkiye","sibutramine  unauthorised substance,sildenafil  "
"2022.7535","meat and meat products (other than poultry)","food","non-compliance with labelling and traceability of game meat","23-12-2022 11:57:44","Belgium","information notification for attention","not serious","Belgium","Belgium","Belgium","Belgium,Northern Ireland","Northern Ireland",""
"2022.7534","herbs and spices","food","Residues of the anauthorised pesticide Chlorpyrifos and also residues of the Malathion in dried  spearmint leaves from Egypt","23-12-2022 11:51:39","Cyprus","alert notification","serious","Cyprus,Greece","INFOSAN","Greece","Cyprus,Egypt,Greece","Egypt","chlorpyrifos  unauthorised substance,malathion  "
"2022.7533","cocoa and cocoa preparations, coffee and tea","food","almond undeclared on chocolate with hazelnut spread from Belgium","23-12-2022 11:44:12","Belgium","alert notification","serious","Luxembourg","Luxembourg","Luxembourg","Belgium","Belgium","almond  traces"
"2022.7532","fish and products thereof ","food","Sensory deviation and spoilage in frozen cod fillets from Germany, with raw material from Norway","23-12-2022 10:23:37","Germany","information notification for attention","serious","Germany","Denmark,Germany,Norway","","Denmark,Germany,Norway","Germany","spoilage  "
"2022.7529","fruits and vegetables","food","Substanta neautorizata chlorpyrifos - metil in tomate origine Turcia/Unauthorised substance chlorpyrifos - metyl  in tomato from Turkey","23-12-2022 09:14:04","Romania","information notification for attention","serious","Romania","","","Romania,Türkiye","Türkiye","chlorpyrifos-methyl  unauthorised substance"
"2022.7527","fruits and vegetables","food","Pesticide residues of matalaxyl in zucchini from Turkiye","23-12-2022 08:39:00","Croatia","border rejection notification","no risk","Croatia","","","Croatia,Türkiye","Türkiye","metalaxyl  "
"2022.7524","feed materials","feed","Salmonella Enteritidis in potato starch for feed from Belgium","22-12-2022 18:49:58","Belgium","information notification for follow-up","not serious","Belgium,Netherlands","Netherlands","","Belgium","Belgium","Salmonella Enteritidis ,Salmonella Montevideo "
"2022.7523","fruits and vegetables","food","Formetanate in organic frozen strawberries ","22-12-2022 17:43:18","Belgium","information notification for attention","serious","Belgium","INFOSAN","","Belgium,Türkiye","","formetanate  "
"2022.7520","fish and products thereof ","food","Listeria in salmon used in ready to eat sallad","22-12-2022 17:31:18","Sweden","alert notification","serious","Denmark,Sweden","","Denmark","Denmark,Sweden","Sweden",""
"2022.7519","nuts, nut products and seeds","food","Aflatoxin B1 in groundnut kernels from Argentina","22-12-2022 17:13:26","Netherlands","information notification for attention","serious","Netherlands","INFOSAN","Netherlands","Argentina,Netherlands","Argentina","Aflatoxin B1  "
"2022.7518","fruits and vegetables","food","Lambda-cyhalothrin in endive lettuce from Spain, via the Netherlands","22-12-2022 16:46:21","Germany","alert notification","serious","Germany,Netherlands,Poland,Spain,Switzerland","","Netherlands,Poland,Spain,Switzerland","Germany,Netherlands,Spain","Spain","lambda-cyhalothrin  "
"2022.7517","confectionery","food","Unauthorized E123 in chocolat coating","22-12-2022 16:43:14","Portugal","information notification for attention","undecided","","","","United Kingdom","United Kingdom",""
"2022.7516","cereals and bakery products","food","Undeclared allergen almond in muesli from Germany","22-12-2022 16:04:48","Germany","alert notification","serious","France,Netherlands","Germany,Netherlands","France,Netherlands","France,Germany","Germany",""
"2022.7515","fruits and vegetables","food","Unauthorized substances carbendazim and benomyl, carbofuran, chlorfenapyr, imidacloprid, iprodione and propiconzole in fresh sweet basil from Cambodia ","22-12-2022 15:57:30","Czech Republic","information notification for attention","serious","Czech Republic","INFOSAN","","Cambodia,Czech Republic","Cambodia","benomyl  unauthorised substance,carbofuran  ,chlorfenapyr  unauthorised substance,imidacloprid  ,iprodione  ,propiconazole  "
"2022.7513","herbs and spices","food","Unauthorized substance anthraquinone and polycyclic aromatic hydrocarbons (PAHs) in dried star anise from Vietnam","22-12-2022 15:08:42","Germany","alert notification","serious","Germany","INFOSAN","Czech Republic","Czech Republic,Germany","Vietnam","anthraquinone  ,benzo(a)pyrene  "
"2022.7512","nuts, nut products and seeds","food","Sale of non-authorized novel food Betel Nuts","22-12-2022 14:50:07","Belgium","alert notification","serious","Belgium,France,Germany,Ireland,Netherlands,Spain,Sweden","Belgium,INFOSAN","Belgium,France,Germany,Ireland,Netherlands,Spain,Sweden","Belgium,Germany,Netherlands,United Kingdom","India",""
"2022.7511","confectionery","food","milk ingredient undeclared on salted caramel milk chocolate bar incorrectly packaged as vegan salted caramel chocolate bar from Finland","22-12-2022 14:48:16","Sweden","alert notification","serious","Sweden","","Finland","Finland,Sweden","Finland",""
"2022.7509","non-alcoholic beverages","food","Unauthorized additives in frozen concentrated drinks/juices (E 150d, E 110, E 102)","22-12-2022 13:55:41","Portugal","border rejection notification","undecided","Portugal","INFOSAN","","Brazil,Portugal","Brazil",""
"2022.7508","fruits and vegetables","food","Unauthorized additives E 202 and E 223 in boiled bamboo shoots from China","22-12-2022 13:50:36","Portugal","border rejection notification","undecided","","","","China,Portugal,Spain","China",""
"2022.7507","nuts, nut products and seeds","food","Unauthorized additives in snack of sunflower seeds (E 952)","22-12-2022 13:48:42","Portugal","border rejection notification","undecided","","INFOSAN","","China,Portugal,Spain","China",""
"2022.7503","prepared dishes and snacks","food","Metal particles in meat fritters from Portugal","22-12-2022 10:57:56","France","information notification for follow-up","undecided","France","","Portugal","France,Portugal","Portugal",""
"2022.7497","bivalve molluscs and products thereof","food","Salmonella Agona in Mediterranean mussels (Mytilus galloprovincialis) produced in Italy and harvested in Spain","21-12-2022 19:25:52","Italy","information notification for attention","serious","","Italy,Spain","","Italy,Spain","Italy,Spain","Salmonella  Agona"
"2022.7495","fish and products thereof ","food","parasitic infestation with Anisakis (live larvae) of chilled Atlantic mackerel (Scomber scombrus) from Spain","21-12-2022 17:14:49","Italy","information notification for follow-up","not serious","Italy","","Spain","Italy,Spain","Spain","Anisakis  parasitic infestation with"
"2022.7494","fish and products thereof ","food","Anisakis in fresh fish (Gallinelle-Triglia lucerna)","21-12-2022 17:04:07","Italy","information notification for attention","not serious","","Netherlands","","Italy,Netherlands","Netherlands","parasitic infestation  "
"2022.7493","fruits and vegetables","food","Substanta neautorizata chlorpirifos -metyl in lamai origine Turcia/Unautorised substances chlorpirifos-methyl in lemons Turkey","21-12-2022 17:01:11","Romania","information notification for attention","undecided","Romania","","","Romania,Türkiye","Türkiye","chlorpyrifos-methyl  unauthorised substance"
"2022.7490","milk and milk products","food","Milk not labelled in English on batches of Le Rustique Camembert and Brie","21-12-2022 16:34:49","Ireland","information notification for attention","not serious","Ireland,Northern Ireland","France,INFOSAN","","France,Ireland","France",""
"2022.7489","fruits and vegetables","food","Pesticides residues in chili peppers from Uganda","21-12-2022 16:29:35","Belgium","border rejection notification","serious","Belgium","","","Belgium,Uganda","Uganda","chlorpyrifos  unauthorised substance,dimethoate  ,omethoate  "
"2022.7488","herbs and spices","food","Exceedance of maximum limits for lead in cardamom","21-12-2022 16:27:44","Germany","alert notification","potentially serious","Austria,Belgium,Denmark,France,Germany,Lithuania,Netherlands,Norway,Switzerland,United Kingdom","Denmark,INFOSAN,Netherlands","Austria,Belgium,France,Germany,Lithuania,Netherlands,Norway,Switzerland","France,Germany,Netherlands,Uganda,United Kingdom","Germany,Uganda","lead  high content"
"2022.7487","cereals and bakery products","food","Soia non dichiarata in etichetta/allergen soy not declared on the label of almond paste from Italy","21-12-2022 16:22:08","Italy","alert notification","serious","Germany,Lithuania,Switzerland,United Arab Emirates","INFOSAN","Germany,Lithuania,Switzerland","Italy","Italy","soya  undeclared"
"2022.7485","fruits and vegetables","food","presence of norovirus RNA (genotype GII) detected in frozen strawberries from Egypt","21-12-2022 16:07:20","Slovakia","alert notification","serious","Slovakia","INFOSAN","Czech Republic,Slovakia","Czech Republic,Egypt,Slovakia","Egypt","norovirus  "
