reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards
"2023.8981","alcoholic beverages","food"," rhum infused with CBD","29-12-2023 10:24:50","France","information notification for attention","potential risk","France","INFOSAN","United Kingdom","United Kingdom","United Kingdom",""
"2023.8980","nuts, nut products and seeds","food","Aflatoxins beyond the permitted limits in shelled pistachios from Iran","29-12-2023 10:03:33","Italy","border rejection notification","serious","","","","Iran,Italy","Iran","Aflatoxin B1  ,aflatoxin total "
"2023.8979","nuts, nut products and seeds","food","Salmonella spp in sesame seeds from Nigeria ","29-12-2023 10:00:08","Greece","border rejection notification","serious","","","","Greece,Nigeria","Nigeria","Salmonella  "
"2023.8978","nuts, nut products and seeds","food"," Aflatoxins beyond the permitted limits  in-shell pistachios from Türkiye","29-12-2023 09:56:36","Italy","border rejection notification","serious","","","","Italy,Türkiye","Türkiye","Aflatoxin B1  ,aflatoxin total "
"2023.8977","fruits and vegetables","food","Aflatoxin B1 in dried figs from Turkey","29-12-2023 09:37:28","France","border rejection notification","potential risk","","","","France,Türkiye","Türkiye","Aflatoxins B1 "
"2023.8974","food contact materials","food contact material","deski do krojenia z tworzywa sztucznego z materiałem roślinnym z Chin// plastic cutting boards with plant material from China","29-12-2023 07:23:20","Poland","border rejection notification","not serious","Poland","","","China,Poland","China",""
"2023.8973","dietetic foods, food supplements and fortified foods","food","Unauthorised novel food ingredient indole-3-carbinol in food supplement from the United States","28-12-2023 18:00:52","Slovenia","border rejection notification","potential risk","","","","United States","United States",""
"2023.8972","cereals and bakery products","food","Unauthorised colour E 110 in ready to eat snacks","28-12-2023 17:26:57","Malta","information notification for attention","potential risk","Malta,Philippines","INFOSAN","","Malta,Netherlands,Philippines","Philippines",""
"2023.8971","cereals and bakery products","food","chlorpyriphos-ethyl in rice from Pakistan","28-12-2023 17:10:35","Netherlands","border rejection notification","potential risk","","","","Netherlands,Pakistan","Pakistan","chlorpyriphos-ethyl  "
"2023.8969","cereals and bakery products","food","Pesticide residues in Pakistan rice","28-12-2023 17:00:08","Netherlands","border rejection notification","potentially serious","","","","Netherlands,Pakistan","Pakistan","chlorpyriphos-ethyl  "
"2023.8965","herbs and spices","food","Pyrrolizidine alkoids in oregano, from Türkiye","28-12-2023 15:24:02","Netherlands","information notification for attention","serious","Netherlands,Oman,Qatar,United Arab Emirates","INFOSAN","","Netherlands,Türkiye","Türkiye","pyrrolizidine alkaloids  "
"2023.8964","meat and meat products (other than poultry)","food","Fresh Argentinian meat vacuum-packed and then frozen","28-12-2023 15:06:16","Italy","information notification for follow-up","not serious","","","Germany","Germany,Italy","Argentina",""
"2023.8963","fruits and vegetables","food","Fenpropathrin in drumsticks from India","28-12-2023 15:01:46","France","border rejection notification","not serious","","","","France,India","India","fenpropathrin  "
"2023.8962","feed materials","feed","Dioxins and dioxin-like PCBs in organic alfalfa meal pellets from Italy","28-12-2023 14:56:11","Germany","alert notification","serious","Germany","Italy","Austria,Italy,Netherlands","Germany,Italy","Italy","dioxins  suspicion"
"2023.8960","fruits and vegetables","food","Acetamiprid, Pyraclostrobin and Thiamethoxam in dragon fruits from Viet Nam","28-12-2023 14:42:55","France","border rejection notification","not serious","","","","France,Vietnam","Vietnam","acetamiprid  ,pyraclostrobin  ,thiamethoxam  "
"2023.8958","pet food","feed","Salmonella Muenchen in dog chews from South Africa","28-12-2023 14:09:08","Germany","border rejection notification","serious","Germany","","","Germany,South Africa","South Africa","Salmonella  "
"2023.8954","cereals and bakery products","food","Chlorpyrifos and thiamethoxam in rice from India ","28-12-2023 13:25:07","Malta","border rejection notification","not serious","","INFOSAN","","India","India","chlorpyrifos  unauthorised substance,thiamethoxam  "
"2023.8950","fish and products thereof ","food","Listeria monocytogenes in smoked salmon from Lithuania","28-12-2023 12:21:08","Slovenia","information notification for attention","serious","Lithuania,Slovenia","Italy,Lithuania","","Italy,Lithuania,Slovenia","Lithuania","Listeria monocytogenes "
"2023.8948","fruits and vegetables","food","Chlorpyrifos-methyl  in fresh lemons from Türkiye","28-12-2023 11:54:10","Bulgaria","border rejection notification","serious","","Türkiye","","Bulgaria,Lithuania,Türkiye","Türkiye","chlorpyrifos-methyl  "
"2023.8947","prepared dishes and snacks","food","stwierdzenie wysokiej zawartości akryloamidu na poziomie >5000 μg/kg w chipsach warzywnych, kraj pochodzenia: Niderlandy // High levels of acrylamide in vegetable chips from the Netherlands","28-12-2023 11:31:54","Poland","alert notification","serious","Denmark,France,Poland,Romania,Sweden","","Denmark,France,Netherlands,Romania,Sweden","Netherlands,Poland,Sweden","Netherlands","acrylamide  high level"
"2023.8943","fruits and vegetables","food","acetamiprid, fenbutatin oxide, clorpyrifos-methyl and malathion in fresh pomegranate from Türkiye","28-12-2023 10:29:50","Bulgaria","border rejection notification","potentially serious","","","","Bulgaria,Germany,Türkiye","Türkiye","acetamiprid  ,chlorpyrifos-methyl  unauthorised substance,fenbutatin oxide  unauthorised substance,malathion  "
"2023.8942","fruits and vegetables","food","Pesticide residues in raisins from Iran","28-12-2023 10:26:20","Croatia","border rejection notification","serious","Croatia","","","Croatia,Türkiye","Iran","carbendazim  ,chlorpyrifos  unauthorised substance,fenpropathrin  ,thiophanate-methyl  "
"2023.8940","bivalve molluscs and products thereof","food","Norovirus in mytilus galloprovincialis from Spain purified in Italy","28-12-2023 09:59:23","Italy","information notification for attention","potentially serious","Italy","","Spain","Italy,Spain","Spain","norovirus  "
"2023.8939","fruits and vegetables","food","formetanate in fresh peppers from Türkiye","28-12-2023 09:47:48","Bulgaria","border rejection notification","serious","","","","Bulgaria,Romania,Türkiye","Türkiye","formetanate  "
"2023.8930","fruits and vegetables","food","Ocratossina A in fichi secchi origine Turchia/ochratoxin A in dried figs from Türkiye","28-12-2023 07:36:12","Italy","border rejection notification","serious","","","","Italy,Türkiye","Türkiye","ochratoxin A  "
"2023.8929","fruits and vegetables","food","Captan in vine leaves in brine from Türkiye","27-12-2023 17:46:16","Germany","information notification for attention","serious","Germany","INFOSAN","","Germany,Türkiye","Türkiye","captan  "
"2023.8926","meat and meat products (other than poultry)","food","Lead in sheep liver","27-12-2023 16:14:35","France","information notification for attention","potentially serious","Netherlands","INFOSAN,Netherlands,United Kingdom","","Netherlands,United Kingdom","United Kingdom","lead  "
"2023.8925","feed materials","feed","Salmonella detected in a batch of fish meal ","27-12-2023 15:50:28","France","information notification for follow-up","not serious","France","","","France,Spain","Spain","Salmonella  "
"2023.8924","fruits and vegetables","food","Alto contenuto di ocratossina A in fichi secchi origine Turchia/High content of ochratoxin A in dried figs from Türkiye","27-12-2023 15:07:35","Italy","border rejection notification","serious","","","","Italy,Türkiye","Türkiye","ochratoxin A  "
"2023.8921","fruits and vegetables","food","Alto contenuto di aflatossine e di ocratossina A in fichi secchi origine Turchia","27-12-2023 14:25:45","Italy","border rejection notification","serious","","","","Italy,Türkiye","Türkiye","aflatoxins  ,ochratoxin A  "
"2023.8915","other food product / mixed","food","Pesticide residues of Imidacloprid in potato flakes from Belarus","27-12-2023 11:43:17","Croatia","border rejection notification","no risk","","","","Belarus","Belarus","imidacloprid  "
"2023.8912","animal by-products","feed","Too high count of Enterobacteriaceae in poultry meal from Poland","27-12-2023 10:54:19","Lithuania","information notification for follow-up","not serious","Estonia,Finland,Latvia,Lithuania","","","Lithuania,Poland","Lithuania,Poland","Enterobacteriaceae  too high count"
"2023.8910","nuts, nut products and seeds","food","aflatoxin B1 in U.S.A. peanuts","27-12-2023 09:50:29","Netherlands","border rejection notification","serious","","","","Netherlands,United States","United States","Aflatoxin B1  "
"2023.8907","dietetic foods, food supplements and fortified foods","food","Unauthorised substance vanadium in food supplement from United States","26-12-2023 18:04:05","Belgium","information notification for attention","potential risk","Belgium","United States","","United States","",""
"2023.8905","feed premixtures","feed","Detección Dioxinas en Arcilla Caolinítica // Dioxins in kaolin clay","26-12-2023 17:34:17","Spain","information notification for follow-up","potential risk","","","","","","dioxins  "
"2023.8904","herbs and spices","food","Ethylene oxide in paprika powder from Turkey","26-12-2023 14:17:09","Germany","alert notification","serious","Belgium,France,Germany","INFOSAN","Belgium,France,Türkiye","Germany,Türkiye","Türkiye","ethylene oxide  "
"2023.8903","poultry meat and poultry meat products","food","Highly pathogenic avian influenza virus (H5N1) detected in turkeys from Lithuania","26-12-2023 13:49:09","Lithuania","information notification for follow-up","potential risk","Czech Republic,Estonia,Germany,Latvia,Poland,United Kingdom","Czech Republic,Estonia,Germany,INFOSAN,Latvia,Poland,United Kingdom","Latvia","Lithuania","Lithuania",""
"2023.8902","fish and products thereof ","food","Ruptura de la cadena de frío en salmón de Chile. Breaking the cold chain in salmon from Chile.","26-12-2023 12:08:54","Spain","border rejection notification","serious","","","","Chile,Spain","Chile",""
"2023.8898","poultry meat and poultry meat products","food","Damaged packaging on ducks from Netherland ","22-12-2023 17:03:21","Denmark","information notification for follow-up","potential risk","Denmark","","Netherlands","Denmark,Netherlands","Netherlands",""
"2023.8897","fish and products thereof ","food","Risk of fermentation in herring from Denmark","22-12-2023 16:49:30","Denmark","information notification for follow-up","not serious","Austria","","Austria","Austria,Denmark","Denmark",""
"2023.8896","meat and meat products (other than poultry)","food","Foreign body (metal clip) in sausage from the Netherlands","22-12-2023 16:22:38","Germany","information notification for follow-up","potential risk","Germany","","","Germany,Netherlands","Netherlands",""
"2023.8575","feed materials","feed","Salmonella Mbandaka in rapeseed cake","22-12-2023 16:04:00","Denmark","information notification for follow-up","potential risk","Norway","Denmark","","Denmark","Denmark","Salmonella Mbandaka "
"2023.8895","dietetic foods, food supplements and fortified foods","food","Unauthorised substance sibutramin and sildenafil in tea from Türkiye","22-12-2023 15:52:53","Belgium","border rejection notification","serious","Belgium","","","Türkiye","Türkiye","sibutramine  unauthorised substance,sildenafil  unauthorised substance"
"2023.8894","fruits and vegetables","food","Deterioration of organoleptic characteristics (smell and taste) in dried figs from Türkiye","22-12-2023 15:49:45","Slovakia","information notification for attention","not serious","Slovakia","","","Slovakia,Türkiye","Türkiye","organoleptic characteristics - deterioration  ,organoleptic characteristics altered "
"2023.8890","herbs and spices","food","pyrrolizidine alkaloids in ground cumin","22-12-2023 15:14:26","Belgium","information notification for follow-up","not serious","Belgium,Germany","Belgium","Germany","Belgium,Germany","Belgium","pyrrolizidine alkaloids  "
"2023.8887","fruits and vegetables","food","Oxamyl (0,074 +/- 0,037 mg/kg) in strawberries from Egypt //// przekroczenie NDP oksamylu (0,074 +/- 0,037 mg/kg) w truskawkach pochodzących z Egiptu","22-12-2023 14:51:13","Poland","information notification for attention","serious","Poland","","","Egypt,Poland","Egypt","oxamyl  "
"2023.8886","herbs and spices","food","Mineral oil components in ground pepper from Belgium","22-12-2023 14:06:21","Germany","information notification for follow-up","potential risk","Germany","","","Belgium,Germany","Belgium","mineral oil  "
"2023.8885","food additives and flavourings","food"," 2-kloretanol i tillsatsen kalciumklorid ///2-chlorethanol in calcium cloride","22-12-2023 13:11:05","Sweden","alert notification","potentially serious","Austria,Czech Republic,Germany,Luxembourg,Netherlands,Poland,Slovakia,Slovenia,Switzerland","Sweden","Austria,Czech Republic,Germany,Luxembourg,Netherlands,Poland,Slovakia,Slovenia,Switzerland","Germany,Poland,Sweden","Germany","2-chloroethanol  "
"2023.8879","poultry meat and poultry meat products","food"," Salmonella Enteritidis in chilled chicken breast from Poland","22-12-2023 12:01:49","Slovakia","information notification for attention","serious","Czech Republic,Slovakia","Czech Republic,Poland,Slovakia","","Poland,Slovakia","Poland","Salmonella Enteritidis "
"2023.8878","cereals and bakery products","food","Pesticide residues in bagels","22-12-2023 11:46:48","France","alert notification","potentially serious","Belgium,Switzerland","INFOSAN","Belgium,Switzerland","France,United States","United States","ethylene oxide  "
"2023.8877","dietetic foods, food supplements and fortified foods","food","Stenotrophomonas maltophilia in drinks from the Netherlands","22-12-2023 11:29:02","Netherlands","information notification for follow-up","potential risk","Spain","","Spain","Netherlands,Spain","Netherlands",""
"2023.8875","nuts, nut products and seeds","food","Absence of health certificate for sesame seeds from Uganda","22-12-2023 10:45:16","Greece","border rejection notification","not serious","","","","Greece,Uganda","Uganda",""
"2023.8874","nuts, nut products and seeds","food","Absence of health certificate for sesame seeds from Uganda","22-12-2023 10:43:18","Greece","border rejection notification","not serious","","","","Greece,Uganda","Uganda",""
"2023.8873","nuts, nut products and seeds","food","Aflatoxins in pistachios in shell from Iran, dispatched from Türkiye","22-12-2023 10:41:32","Greece","border rejection notification","serious","Türkiye","Iran","Türkiye","Greece,Iran,Türkiye","Iran","aflatoxins  "
"2023.8872","fish and products thereof ","food","listeria detected smoked salmon","22-12-2023 10:40:49","France","information notification for attention","serious","Seychelles","INFOSAN,Seychelles","","France","France","Listeria monocytogenes "
"2023.8871","nuts, nut products and seeds","food","Salmonella spp in sesame seeds from Nigeria","22-12-2023 10:36:59","Greece","border rejection notification","serious","","","","Greece,Nigeria","Nigeria","Salmonella spp. "
"2023.8870","nuts, nut products and seeds","food","Absence of health certificate for sesame seeds from Nigeria","22-12-2023 10:34:55","Greece","border rejection notification","not serious","","","","Greece,Nigeria","Nigeria",""
"2023.8869","nuts, nut products and seeds","food","Absence of health certificate for sesame seeds from Nigeria","22-12-2023 10:33:27","Greece","border rejection notification","not serious","","","","Greece,Nigeria","Nigeria",""
"2023.8867","poultry meat and poultry meat products","food","Salmonella in Chicken thigh satay from Romania","22-12-2023 09:47:01","Netherlands","alert notification","serious","Netherlands","Netherlands","Netherlands,Poland,Romania","Netherlands,Romania","Romania","Salmonella  "
"2023.8862","fats and oils","food","sudan IV in olio di palma dal Ghana/Unauthorized colour Sudan IV in palm oil from Ghana","22-12-2023 07:42:28","Italy","border rejection notification","serious","","","","Ghana,Italy","Ghana","Sudan 4 unauthorised colour"
"2023.8860","herbs and spices","food","Pyrrolizidine alkoids in oregano from Turkey","21-12-2023 20:12:09","Netherlands","information notification for attention","serious","Netherlands","INFOSAN","","Türkiye","Türkiye","pyrrolizidine alkaloids  "
"2023.8859","feed materials","feed","Salmonella Agona in soybeanmeal from the Netherlands","21-12-2023 20:07:52","Belgium","information notification for follow-up","not serious","France","","","Belgium,Netherlands","Netherlands","Salmonella  Agona"
"2023.8858","milk and milk products","food","presence of Listeria in cheese","21-12-2023 17:50:20","France","alert notification","serious","Belgium,France,Luxembourg,Netherlands,Spain","Netherlands","Belgium,Luxembourg,Netherlands,Spain","France","France","Listeria monocytogenes "
"2023.8857","other food product / mixed","food","Consignment Rice Noodles skipped veterinairy checks in the BCP Rotterdam","21-12-2023 17:48:28","Netherlands","information notification for follow-up","not serious","Austria,Denmark,Germany,Norway,Switzerland","","Austria,Denmark,Germany,Norway,South Korea,Switzerland","Netherlands,South Korea","South Korea",""
"2023.8856","meat and meat products (other than poultry)","food","STEC (stx+;eae+) in minced bovine meat from Belgium","21-12-2023 17:26:06","Belgium","information notification for attention","serious","Belgium","Belgium,Netherlands","","Belgium,Netherlands","Netherlands","Escherichia coli shigatoxin-producing "
"2023.8855","cereals and bakery products","food","Unsuitable organoleptic characteristics in jasmine rice from Slovakia","21-12-2023 17:19:08","Hungary","information notification for follow-up","potentially serious","Hungary","","Slovakia","Hungary,Slovakia","Slovakia","abnormal smell  "
"2023.8854","fruits and vegetables","food","ETO in Black beans from Madagaskar","21-12-2023 16:54:51","Denmark","alert notification","serious","Denmark","Denmark,INFOSAN,Madagascar,Netherlands,Peru,Poland","Denmark,Madagascar,Netherlands,Poland,Sweden","Denmark,Netherlands","Madagascar,Peru","ethylene oxide  "
"2023.8851","milk and milk products","food","detection of listeria monocytogenes in goat's cheese ","21-12-2023 16:34:34","France","alert notification","serious","Belgium,Denmark,France,Germany,Ireland,Italy,Luxembourg,Netherlands,Switzerland,United Kingdom","Belgium,France,Germany,INFOSAN,Ireland,Italy,Netherlands,Switzerland","Belgium,Denmark,Germany,Ireland,Luxembourg,Netherlands","Belgium,France,Germany","","Listeria monocytogenes "
"2023.8848","poultry meat and poultry meat products","food","Risk of germ development due to defective nitrite salt in hallal delicatessens","21-12-2023 16:00:54","France","alert notification","potentially serious","Belgium,Cameroon,Czech Republic,Italy,Luxembourg,Maldives,Mali,Spain","INFOSAN,Spain","Belgium,Czech Republic,Italy,Luxembourg,Spain","France","France","Clostridium sulphite reducer "
"2023.8847","feed materials","feed","Salmonella in soy bean meal","21-12-2023 15:58:05","Austria","information notification for attention","not serious","","","","Austria,Serbia,Switzerland","Serbia","Salmonella  "
"2023.8845","fruits and vegetables","food","Ochratoxin A in dried figs","21-12-2023 15:50:06","Switzerland","alert notification","serious","Belgium,France,Germany,Netherlands,Switzerland","INFOSAN,Netherlands,Switzerland","Belgium,France,Germany,Netherlands,Switzerland","Netherlands,Switzerland,Türkiye","Türkiye","ochratoxin A  "
"2023.8844","herbs and spices","food","Przekroczenie NDP sumy alkaloidów pirolizydynowych w produkcie pn. Oregano /// Exceeding the MRL for the sum of pyrrolizidine alkaloids in oregano from Turkey","21-12-2023 15:38:55","Poland","information notification for attention","serious","Poland","INFOSAN,Türkiye","","Poland,Türkiye","Türkiye","pyrrolizidine alkaloids  "
"2023.8842","food contact materials","food contact material","migration of DBP in feeding bottles from the Netherlands","21-12-2023 15:30:49","Belgium","information notification for follow-up","not serious","Belgium","","","Belgium,Netherlands","Netherlands","phthalate DBP - dibutyl migration"
"2023.8841","fish and products thereof ","food","Benzo(a)pyrene and polycyclic aromatic hydrocarbons (PAHs) in smoked fish from Ghana","21-12-2023 15:14:01","Belgium","border rejection notification","serious","","INFOSAN","","Belgium,Ghana","Ghana","benzo(a)pyrene  ,polycyclic aromatic hydrocarbons sum of "
"2023.8836","cereals and bakery products","food","Ochratoxin A in maize flour from Portugal//Ocratoxina A por encima del límite normativo en harina de maíz procedente de Portugal","21-12-2023 14:53:45","Spain","alert notification","serious","Spain","Spain","Portugal","Portugal,Spain","Portugal","ochratoxin A  "
"2023.8835","nuts, nut products and seeds","food","Salmonella in Walnut from United Status","21-12-2023 14:51:40","Netherlands","alert notification","serious","France,Netherlands","INFOSAN","France","Netherlands,United States","United States","Salmonella spp  "
"2023.8078","meat and meat products (other than poultry)","food","Escherichia coli shigatoxin-producing stx2 in Bos Taurus cuts from Brazil","21-12-2023 14:34:20","Netherlands","information notification for follow-up","potentially serious","Austria,Belgium,Czech Republic,Germany,Netherlands,Romania,Sweden,United Kingdom","Romania,United Kingdom","Austria,Belgium,Brazil,Czech Republic,Germany,Slovakia,Sweden","Belgium,Brazil,Germany,Netherlands","Brazil","Escherichia coli shigatoxin-producing "
"2023.8833","other food product / mixed","food","Consignment of cheese spread and instant gelatine products passed BCP without veterinary checks","21-12-2023 14:14:34","Netherlands","information notification for follow-up","not serious","Austria,Belgium,Czech Republic,Finland,France,Germany,Greece,Hungary,Netherlands,Poland,Slovenia,Sweden,Switzerland","","Austria,Belgium,Czech Republic,Finland,France,Germany,Greece,Hungary,Poland,Slovenia,Sweden,Switzerland,United States","Netherlands,United States","United States",""
"2023.8832","herbs and spices","food","Elevated levels of pyrrolizidine alkaloids in Oregano","21-12-2023 14:06:46","Ireland","information notification for attention","serious","Ireland,United Kingdom","INFOSAN,Türkiye,United Kingdom","United Kingdom","Ireland,Türkiye,United Kingdom","Jordan","pyrrolizidine alkaloids  "
"2023.8831","fruits and vegetables","food","Pesticide residues in yard long beans from India","21-12-2023 14:00:50","Ireland","border rejection notification","potential risk","","INFOSAN","","Ireland,United Kingdom","India","chlorothalonil  "
"2023.8829","food contact materials","food contact material","Migration of primary aromatic amines in a spaghetti spoon from China","21-12-2023 13:23:43","Latvia","information notification for attention","potentially serious","Latvia","INFOSAN","","China,Latvia","China","primary aromatic amines  migration"
"2023.8828","crustaceans and products thereof","food","Rejected consignments of Shrimp from the UK","21-12-2023 12:57:11","Netherlands","information notification for attention","potentially serious","","INFOSAN,Netherlands,United Kingdom","United Kingdom","Netherlands,United Kingdom","United Kingdom",""
"2023.8827","eggs and egg products","food","Salmonella Enteritidis on a laying hen farm in Germany","21-12-2023 12:35:17","Germany","information notification for follow-up","potentially serious","Germany,Netherlands","","Netherlands","Germany,Netherlands","Germany","Salmonella Enteritidis "
"2023.8818","fruits and vegetables","food","Salmonella Agona in sprouts","21-12-2023 09:55:08","Finland","information notification for attention","serious","","","","Finland,Italy","Italy","Salmonella  ,Salmonella  Agona"
"2023.8817","fish and products thereof ","food","Ruptura de la cadena de frío en atún de Senegal. Breakage of the cold chain in tuna from Senegal.","21-12-2023 09:39:10","Spain","border rejection notification","not serious","","","","Senegal,Spain","Senegal",""
"2023.8816","cereals and bakery products","food","Ingredientes nuevos no autorizados en cereales de India. /// Unauthorised new ingredients in cereals from India.","21-12-2023 09:37:08","Spain","border rejection notification","not serious","","","","India,Spain","India",""
"2023.8812","soups, broths, sauces and condiments","food","Sulphite and mustard not mentioned on the label of sauce pickles","20-12-2023 18:05:01","Belgium","alert notification","serious","France,Luxembourg","","France","Belgium","Belgium",""
"2023.8810","milk and milk products","food","Potential Tuberculosis Outbreak in Dairy Cattle  - Risks Linked to Consuming Unpasteurized Milk","20-12-2023 17:45:59","France","alert notification","potentially serious","Spain","Spain","France,Spain","France","France",""
"2023.8807","meat and meat products (other than poultry)","food","presence of listeria in smoked bacon","20-12-2023 16:46:44","France","alert notification","serious","Belgium,France,Portugal","","Belgium,Portugal","France","France","Listeria monocytogenes "
"2023.8806","honey and royal jelly","food","Sildenafil in herbal mixed paste from Türkiye //// Syldenafil w miodzie tureckim na potencję pochodzącym z Turcji","20-12-2023 16:44:44","Poland","alert notification","serious","","Germany,INFOSAN","","Germany,Poland,Türkiye","Türkiye","sildenafil  unauthorised substance"
"2023.8805","cereals and bakery products","food","Mineral oil components in rice from Pakistan, via Poland","20-12-2023 16:30:21","Germany","alert notification","potentially serious","Germany","","","Germany,Poland","Pakistan","mineral oil  "
"2023.8804","fruits and vegetables","food","Chlorpyrifos in cowpeas, from Madagascar","20-12-2023 16:27:41","Netherlands","information notification for attention","serious","Austria,Finland,France,Germany,Hungary,Netherlands,Poland,Slovenia","INFOSAN","Austria,Finland,France,Germany,Hungary,Netherlands,Poland,Slovenia,Türkiye","Austria,Germany,Netherlands,Slovenia,Türkiye","Madagascar","chlorpyrifos  "
"2023.8803","cocoa and cocoa preparations, coffee and tea","food","Consignment of cocoa products passed border control post without veterinary checks.","20-12-2023 16:23:31","Netherlands","information notification for follow-up","not serious","Germany,Morocco","","Germany,United States","Germany,United States","United States",""
"2023.8801","other food product / mixed","food","hazelnut undeclared on chocolate sticks from Switzerland, via the Czech Republic","20-12-2023 16:07:04","Netherlands","alert notification","serious","Belgium,Bulgaria,Netherlands","Bulgaria,Netherlands","Belgium,Bulgaria,Czech Republic,Poland,Switzerland","Bulgaria,Netherlands,Switzerland","Poland",""
"2023.8800","herbs and spices","food","Several residues including chlorpyrifos in jasmine infusion from China via Germany","20-12-2023 15:41:56","Belgium","alert notification","serious","Andorra,Australia,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Canada,Chile,Colombia,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Italy,Latvia,Lithuania,Martinique,Morocco,Namibia,Netherlands,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Tunisia,Ukraine,United Kingdom,United States,Uzbekistan","Belgium,Bosnia and Herzegovina,Germany,INFOSAN,Uzbekistan","Australia,Austria,Canada,China,Croatia,Czech Republic,Denmark,France,Germany,Greece,Italy,Morocco,Netherlands,Poland,Slovakia,South Africa,Sri Lanka,Switzerland,United Kingdom","Belgium,China,Germany,Romania","Belgium,China,Germany","acetamiprid  ,ametryn  unauthorised substance,buprofezin  ,chlorantraniliprole  ,chlorfenapyr  ,chlorpyrifos  ,clothianidin  ,cypermethrin  ,emamectin  ,fenvalerate  ,fipronil  unauthorised substance,hexaflumuron  ,imidacloprid  ,isocarbophos  unauthorised substance,isofenphos-methyl  unauthorised substance,lambda-cyhalothrin  ,thiamethoxam  ,tolfenpyrad  ,triazophos  "
"2023.8798","cereals and bakery products","food","Unauthorised additive titanium dioxide E171 in breakfast cereal from United States","20-12-2023 15:01:24","Lithuania","information notification for attention","potential risk","Lithuania","INFOSAN","","Canada,Lithuania,United States","United States",""
"2023.8797","cocoa and cocoa preparations, coffee and tea","food","Nivel elevado de cadmio en cacao en polvo ecológico procedente de Países Bajos // High level of cadmium in organic cocoa powder from the Netherlands","20-12-2023 14:17:05","Spain","alert notification","serious","Spain","","Netherlands","Netherlands,Spain","Netherlands","cadmium  "
"2023.8796","herbs and spices","food","Pyrrolizidine alkaloids, chlorpyrifos, acetamiprid, clothiandin, dithiocarbamates and tricyclazole in ground cumin from Turkey, via France","20-12-2023 14:01:15","Germany","alert notification","serious","France,Germany","INFOSAN","France,Germany","France,Germany,Türkiye","Türkiye","acetamiprid  ,chlorpyrifos  ,clothianidin  ,dithiocarbamates  ,pyrrolizidine alkaloids  ,tricyclazole  unauthorised substance"
"2023.8795","fruits and vegetables","food contact material","Migration of DOTP in Canned vegetable salads from Armenia","20-12-2023 13:44:55","Latvia","information notification for follow-up","potentially serious","Estonia,Latvia,Lithuania","","Estonia,Lithuania","Armenia,Estonia,Latvia,Lithuania","Armenia","bis(2-ethylhexyl) terephthalate (DOTP)  migration"
